sentence	is_actionable
Ina, keep getting these security requests that cannot approve.	Actionable
Russ Severson/HOU/ECT@ECT	Non-Actionable
Send O.R for this meeting and we will set up secondary date for the others.	Actionable
For example, if CB cannot find a good trim carpenter sub, orcannot find enough trim carpenters, etc., and it decides to undertake thisfunction, it will charge the partnership the same fee it was able to obtainfrom third parties and will disclose those cases to the partnership.	Non-Actionable
Plan a team vacation and check with everyone if they will be able to make it.	Actionable
Please review and if there is anything else that Rita Wynne need to know about this deal, just let her know.	Actionable
"Rose, ""CALIFORNIA POWER CRISIS UPDATE"" scheduled on Wednesday, May 16, 2001 participate in the call."	Actionable
Scott Neal/HOU/ECT	Non-Actionable
----------------------	Non-Actionable
_	Non-Actionable
I  doubt that my signature? is even needed to complete this transaction.?	Non-Actionable
please find the latest Line 300 pipeline liquid sample test summary for the Hinkley and Kettleman districts.	Actionable
Frank Ermis	Non-Actionable
Please set up an interview for me one afternoon during the next couple of weeks and send me the formalities to do before attending.	Actionable
----------------------	Non-Actionable
Once the construction drawings are complete I will send them to you for a revised bid.	Non-Actionable
all Notes databases applications that you currently use:  NONE	Non-Actionable
What is up with Burnet?	Non-Actionable
Meeting Dates:	Non-Actionable
please pass on to others that missed in your arena.	Actionable
Please send him the Feb and Mar activity.	Actionable
_	Non-Actionable
Please advise the team, so we can keep the process moving.	Actionable
Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000 08:34 AM ---------------------------	Non-Actionable
The meeting with Richard Burchfield/HOU/ECT was rescheduled.	Non-Actionable
Please review this information and let me know via email if RAC requires the documents.	Actionable
Please follow the instructions in TurboTax carefully to get best results.	Actionable
_	Non-Actionable
let me know what your thoughts are once I reach.	Actionable
Gas Trading Vision mtg.	Non-Actionable
Please provide brief personal history of the two principals involved in Creekside.	Actionable
As we discussed yesterday, I am concerned there may have been an attempt to manipulate the  El Paso San Juan monthly index.	Non-Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 02:00 PM ---------------------------	Non-Actionable
Please click Approval to review and act upon this request.	Actionable
Collect the updates and information on career and community services available to them.	Actionable
For the month of March, please provide completed Hours survey for each position within your group.	Actionable
What input will investors have in selecting design and materials for units?	Non-Actionable
Please change the names and let the traders know that they should now be choosing this name instead of Calpine Power Services Company.	Actionable
I want you to check and make sure that everything is running as it is designed	Actionable
_	Non-Actionable
Chris Germany, please reserve conference room for up to people for hour on Wednesday.	Actionable
As an alternative, we can close into a land loan atprobably 70% of appraised value.	Non-Actionable
Please check on the actual storage capacity volume on FSS contract 63304.	Actionable
Lucy,You wrote fewer checks this month.	Non-Actionable
Richard  ----------------------	Non-Actionable
PLease check with Elsa on dates for upcoming events.	Actionable
Define the desired lay out of the position manager screen: main view and all drill downs.	Non-Actionable
Allow people to know month ahead if they will be affected by rolling blackouts.	Actionable
Russell Long -	Non-Actionable
Please summarize and hand out to traders.	Actionable
Please analyze invoices and provide invoicing support.	Actionable
"To: ""Phillip Allen"" <pallen@enron.com>cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net>, ""Claudia L. Crocker"" <clclegal2@aol.com>"	Non-Actionable
A small freakish wind storm with severe	Non-Actionable
Kate, Please approve and auto-schedule the meeting for next week on this.	Actionable
Var, Reporting and Resources Meeting	Non-Actionable
We are more than willing to provide reports to track expenses vs. plan.	Non-Actionable
Subject:	Non-Actionable
Jim, follow up with the DOE opportunity.	Actionable
please double check to make sure the values are now correct.	Actionable
A new position screen for options	Non-Actionable
In the future, please include me on the original emails concerning transport.	Actionable
Once we are done with the meeting, everyone, delete the raws that you had previously downloaded.	Actionable
To (MM/DD/YY):      <	Non-Actionable
I would rather have  time to have it reviewed before I accept it.?	Non-Actionable
bend them back as far as possible with as much pressure pushing down on them as possible.	Actionable
Make sure on the TDS Curve Manager not to hit the button on the publish sheet.	Actionable
09/27/2000 02:00 PM	Non-Actionable
1.	Non-Actionable
Please schedule conference call with your corporate lawyer Clement Abrams to discuss the current issues.	Actionable
_	Non-Actionable
Please coordinate with supervisor and receive all materials and prepare necessary paperwork for same.	Actionable
Services  53  581  464	Non-Actionable
Prepare the Letter and send it to ABB for their comments.	Actionable
Brenda, Please use the second check as my October payment.	Non-Actionable
Meeting Dates:	Non-Actionable
INA RANGEL	Non-Actionable
Write me note about what is going on and what issues you need my help to deal with when you send the rentroll.	Actionable
Start: 09/28/2000	Non-Actionable
Please ensure that the method used for measuring particulate matter can have significant impact on the particulate level determined.	Actionable
I will drive by Friday evening.	Non-Actionable
Pate Rd.	Non-Actionable
Hunter S Shively -	Non-Actionable
Even if the maximum loan wouldcover all costs, it is unlikely the bank would allow reimbursement of fundsspent.	Non-Actionable
As we discussed in San Marcos, we can also discusshaving you invest only in the lots, sell the lots to the construction entitywith your profit in the lot.	Non-Actionable
Please unsuspend and bill the following Jan CES deals Deal Pipe volume Amount Comment 145311 ANR 5071 11992.92.	Actionable
Callwhen you have reviewed	Non-Actionable
Please email or call with an update.	Actionable
Please circulate revised draft of the Guaranty Agreement and advise as to when Coral can meet for execution of the Letter Agreements and the Guaranty Agreements.	Actionable
The initial investment is used for land deposit, engineering &architectural design, soils tests, surveys, filing fees, legal fees fororganization and condominium association formation,  and appraisals.	Non-Actionable
Scott Mills/HOU/ECT	Non-Actionable
Frank, just note to make sure that get any updates to the approved Counterparty list.	Actionable
Phillip	Non-Actionable
please find revised Schedule to the ISDA Master Agreement to be entered into Enron Corp.	Actionable
As far as the business meetings, I think it would be more productive to try and stimulate discussions across the different groups about what is working and what is not.	Non-Actionable
NO	Non-Actionable
Russell Long/HOU/ECT	Non-Actionable
My suggestion for where to go is Austin.	Non-Actionable
The Lone Star gas line easement in the lower portion of the property is notexpected to impact sales significantly.	Non-Actionable
Do you have any Distribution Groups that Messaging maintains for you (for mass mailings)?	Non-Actionable
Please ensure compliance of all federal state and local laws that regulate collection processes.	Actionable
Therein comes Sempra energy> gas trading, truly you.	Non-Actionable
, Enron Energy Services is the appropriate Enron entity.	Non-Actionable
Please call Jeff Gossett to check who will coordinate the trading.	Actionable
"To: ""Phillip Allen"" <pallen@enron.com>cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net>, ""Claudia L. Crocker"" <clclegal2@aol.com>"	Non-Actionable
Let me know when you get the quotes from P	Actionable
Westgate Proforma-Phillip Allen.xls	Non-Actionable
Please give me call at X.35840 by Friday morning to raise resolve the raised issue.	Actionable
Discuss that there are three total contracts, two for Gleason and one for Wheatland.	Actionable
George W. RichardsCreekside Builders, LLC	Non-Actionable
1.	Non-Actionable
Joan, change your email to Joni.	Actionable
any morning between 10 and 11:30	Non-Actionable
Then last week I had to takemy wife  to emergency.	Non-Actionable
Resolve the QFs' financial issues as it is out first priority.	Actionable
Beth Perlman/HOU/ECT@ECT	Non-Actionable
Get involved with the Emerging Business Council by contacting HJUG, who is dedicated to the use of the Java TM Technology and Lifestyle.	Actionable
please find memorandum containing the issues that we would like you to address	Actionable
Please sign both documents and FedEx them to me at the address described below.	Actionable
_	Non-Actionable
please talk to Mallory about the counterparty name to confirm.	Actionable
Matt, make sure this is included in your long term forecast.	Actionable
As alwaysthe question will be who has final say if there is disagreement, but in myexperience I have always been able to reach consensus.	Non-Actionable
If we are pursuing multifamily rental developments,the construction loans are still full recourse but the mortgage can often benon-recourse.	Non-Actionable
Subject:	Non-Actionable
Just let me know what time is ideal and will schedule it with Erik.	Actionable
Customized rows and columns in the position manager (ad hoc rows/columns that add up existing position manager rows/columns).	Non-Actionable
Verify all claims and do your own due diligence.	Actionable
Finally,for vendors they are constantly shopped.	Non-Actionable
Scott Mills/HOU/ECT	Non-Actionable
1.  Click on	Non-Actionable
11:22 AM ---------------------------	Non-Actionable
Invite everyone for the first QSE project manager conference call to share the thoughts.	Actionable
please shed some light on these issues or at least guide me to someone who can.	Actionable
Detailed description:	Non-Actionable
"To: ""Phillip Allen"" <pallen@enron.com>cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net>"	Non-Actionable
This is especially attractive when the project is in a market as strong asAustin and we are introducing new product that in a very low price range forthis market.	Non-Actionable
Please coordinate with Account Mangers in determining new business opportunities with potential customers.	Actionable
Confirmation	Non-Actionable
Please let me know once we have understood your intent correctly.	Actionable
Send her an appropriate offer instead of just sending an email.	Actionable
04:30 PM ---------------------------	Non-Actionable
Please get back to me as soon asyour schedule permits regarding the site visit and feel free to call at anytime.	Non-Actionable
Please assist Account Manager in business support and management.	Actionable
Phillip K Allen/HOU/ECT	Non-Actionable
If you have any problems or questions, please feel free to call me at Thank you, Lorie Leigh Suzanne, Please schedule this week's conference call for 9.30am on Wednesday, and Shoemaker.	Actionable
Please let me know what the response is from them.	Actionable
Walmart?	Non-Actionable
Throughout the meeting on Wednesday, Keith alluded to the inability to get consensus amongst the traders on the presentation of the consolidated position, so the solution was to make it so that a trader can arrange the position screen to their liking (much like Excel).	Non-Actionable
>	Non-Actionable
Phillip, please assign global id's to the four junior traders listed on Dawn's original email.	Actionable
Get all the details in our special report.	Actionable
Please provide courteous services to customers while ensuring collection of dues.	Actionable
Beth Perlman/HOU/ECT@ECT	Non-Actionable
so this is a good idea for both screening and current buyerpreferences.	Non-Actionable
Please advise as to what can provide or help out with this process.	Actionable
Please email your cost estimates when company confirm the plan	Actionable
Please adjust the deals in Sitara to reflect this change.	Actionable
Joe, please pass on to me the contact and telephone number for the Southwest airline ticket issue we were discussing at the Corpus Christi airport last week.	Actionable
Also please check the mathematical integrity of our figures.	Actionable
_	Non-Actionable
Go ahead and true up the PAL agreement to match physical flow.	Actionable
What level of investor involvement will be possible during construction planning and permitting?	Non-Actionable
Get insights on the latest Internet trends at the end of tumultuous year.	Actionable
Rebecca, check with Daren Farmer when you get ready to do the flash invoice on the first to confirm the MidCon volume amounts and dates.	Actionable
As with most infill projects, the quality of the surrounding neighborhoodsis uneven.	Non-Actionable
The land loan forundeveloped lots would be 70% of the appraised raw lot value, which I wouldestimate as $10,000 per lot for a loan value of $7,000 per lot.	Non-Actionable
Phillip	Non-Actionable
_	Non-Actionable
Description:	Non-Actionable
Please try to check this before you open any applications and send me the report immediatelty once you are done.	Actionable
Raise $10 million for subsidizing the utility bills of poor people and for weatherizing their homes to cut energy consumption.	Actionable
Negotiate directly with tribes and state governments in the west for addtional gas supplies.	Actionable
The high physical prices on the 26th & 27th (4.75,4,80) are much greater than the high financial trades (4.6375,4.665) on those days.	Non-Actionable
Please put all deals under Exelon Generation from tomorrow.	Actionable
please help me out with his name and telephone number to reach the correct person where I can resolve my document issues.	Actionable
Please create clean well executed design concepts to use for the new project.	Actionable
Mary, please take look at the meter for the months in question with the help of Rick and let Stephanie and myself know whose idea is this.	Actionable
Get Team to Sacramento and get with Hertzberg to discuss the options Bev	Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/06/2000	Non-Actionable
Looks like it from the cash flow statement.	Non-Actionable
Relieve the local congestion related to the wind generation projects in the Rio Pecos area.	Actionable
conduct an investigation of the reported matter to make it clear.	Actionable
File Your Taxes Online for Just $17.95 with CompleteTax!	Actionable
Priscilla, Let me know when you're available and we'll go over each item on the invoice to make sure it is correct.	Actionable
please extend the deal to April so that can allocate it.	Actionable
George, Please send the latest cost estimates when you get chance this monday	Actionable
Make sure you remove my approval from the form for these documents.	Actionable
on 09/06/2000 09:06:45 AM	Non-Actionable
_	Non-Actionable
Meeting Dates:	Non-Actionable
Scott Mills/HOU/	Non-Actionable
Review the following systems presented in this spreadsheet for your group and let us know if you in fact use all these systems.	Actionable
Be sure to indicate complete cardholder information.	Actionable
Frank Rohan Ziegelaar Send it to Ina Rangel she can forward it to appropriate traders.	Actionable
I  talked to a crim.	Non-Actionable
Plus your thoughts on any changes that need to be made.	Non-Actionable
Use Ben Jacoby at 1400 Smith, Houston, 77002 for notices and invoices for purposes of the draft.	Actionable
"---------------------------	Reschedule"	Non-Actionable
Dave,  Here are the names of the west desk members by category.	Non-Actionable
Let me know what information you need from me.	Actionable
Implicit and explicit position break out issues.	Non-Actionable
Cindy Cicchetti	Non-Actionable
Improvement	Non-Actionable
Kay, attach the latest versions of the CA Energy Development breakout agreements and email them to everyone.	Actionable
Identify overload risk areas and manage cogestion on the system.	Actionable
The other issues that have been raised will be capture as projects on to themselves, and will need to be prioritised as efforts outside of this project.	Non-Actionable
Karen, revise the new version attached and let me know what you think.	Actionable
Please come by 5C2 at your convenience tomorrow as UBS require you to complete missing information on your application form.	Actionable
----------------------	Non-Actionable
Allocate them evenly among these teams.	Actionable
Controls on max disbursement?	Non-Actionable
_	Non-Actionable
Forwarded by Richard Burchfield/HOU/ECT on 10/06/2000 08:34 AM ---------------------------	Non-Actionable
Walmart    Description and unit?	Non-Actionable
Please find the agenda for Wednesday's meeting.	Actionable
Hopefully, the trades submitted will reveal counterparty names and you will be able to determine that there was only one buyer in the 4.70's and these trades are outliers.	Non-Actionable
4085	Non-Actionable
please check the status on that report by tomorrow before meeting starts.	Actionable
Sincerely,Phillip Allen	Non-Actionable
Please include the room and time on the amtel.	Actionable
Please verify the price and let me know what you find out.	Actionable
Find out what the handheld could handle and what it couldn't in his report.	Actionable
Valuation of Gas Daily options.	Non-Actionable
Please let me know about the scope of Sutherland's engagement.	Actionable
One of these units had just had the roof decked with the siding scheduled tostart the next day.	Non-Actionable
Gas Trading Vision Meeting - Room	Non-Actionable
John LavoratoThank you for your help	Non-Actionable
Please let me know what you find and update the same to team as well.	Actionable
Please change the term on deal 143913 to evergreen.	Actionable
George, Here sales numbers from Reagan:	Non-Actionable
Show us how you can participate and profit in this lucrative market in the the new millenium.	Actionable
Establish and maintain liaze with services desk.	Actionable
Andy Rodriquez Claudia please arrange conference call with Tim, John and myself to discuss the method for allocation going forward.	Actionable
_	Non-Actionable
Allan Severude/HOU/ECT	Non-Actionable
Westgate	Non-Actionable
Hopefully we'll know much better where that part stands at that point.	Non-Actionable
Please let me know how the CARP report looks now, and call me with questions.	Actionable
Please resend it and will roll it for this week this morning.	Actionable
Morgan, please schedule daily total of 2095 to NYSEG off of CNG for Jan 2000.	Actionable
Please review them, especially the schedules and exhibits, so we can finalize all the issues without having to go back and check on bunch of items.	Actionable
However, please continue to directly coordinate with Scott and he will keep me apprised of the status.	Actionable
I regret that it took so long to get back to you, but we had some unusualevents these past few weeks.	Non-Actionable
Russ Severson/HOU/ECT	Non-Actionable
For April Business, use only the following ENA contracts on CGAS.	Actionable
>	Non-Actionable
Please gather receipts so we can discuss.	Actionable
We do not expect to have anyconstruction loans in the name of the buyers, as such loans are toodifficult to manage and please new buyers unfamiliar with the process.	Non-Actionable
Hilliard, know the status of these contracts forwarded to you on August 23, 2000 and August 25, 2000.	Actionable
pallen pw: ke9davis	Non-Actionable
please get contact name and phone number for this counterparty from deal so that we can send out the confirmation letter and the number we have in the system has been disconnected.	Actionable
02:00 PM	Non-Actionable
_	Non-Actionable
Jim, pls get with Susan to make sure coverage is appropriate.	Actionable
_	Non-Actionable
Kay, complete this break out contract thing as soon as possible.	Actionable
Please advise as to how quickly we can act on these requests.	Actionable
Please ask for the work, complete and submit by Monday, July 17, 2000.	Actionable
Fletcher J Sturm/HOU/ECT	Non-Actionable
Email me the names of the candidates, whom you picked from my list!	Actionable
Please prepare business presentations and reports for customers.	Actionable
Janet, please send copies of the VNG demand charge invoices to Denise Dodson.	Actionable
Do you have access to a shared calendar?	Non-Actionable
John, please fix bugs and improve code by tomorrow.	Actionable
Please review available information for the Last three months of analytical on liquids from the pipeline and take the help if needed to complete.	Actionable
CONSTRUCTION LOANS	Non-Actionable
Jeff, please call Kevin with scheduling changes in the future.	Actionable
>	Non-Actionable
San Juan	Non-Actionable
----------------------	Non-Actionable
Colleen Sullivan/HOU/ECT	Non-Actionable
"---------------------------	Reschedule"	Non-Actionable
downdrafts hit the South part of Austin where we are building 10 town homes.	Non-Actionable
Once you named recipient, please notify the sender immediately and do not disclose the contents to another person, use it for any purpose or store or copy the information in any medium.	Actionable
but as vague and general as this is	Non-Actionable
Schedule the new volume under the gathering.	Actionable
Please also verify that this gas is showing up for CES and notify me with problems.	Actionable
Please manage and update customer database.	Actionable
Gas will likely be consumed from May through September, during peak> electric period.	Non-Actionable
"""BS Stone"" <"	Non-Actionable
"""Lucy Gonzalez"" <stagecoachmama@hotmail.com"	Non-Actionable
Please file this in your Call Dave when you find this folder.	Actionable
As such, they have to be counted as adevelopment cost, even though they are not spent.	Non-Actionable
This analysis shows your investment at $700,000 for a 50% interest in theprofits of the project.	Non-Actionable
Do you have a PDA?	Non-Actionable
----------------------	Non-Actionable
Megan, watch the whole thing I'm not going with AEP.	Actionable
Please take immediate action to satisfy this call prior to the close of the market be forced to take action to satisfy the call by selling some or all of your portfolio.	Actionable
Define the desired lay out of the position manager screen: main view and all drill downs.	Non-Actionable
Please review my review of the transition period operating hour limitations.	Actionable
Share something delicious even if you can't be there for the big selected GREATFOOD.COM 10 off collection.	Actionable
Inclusion of positions for exotic options currently managed in spreadsheets.	Non-Actionable
need to contact me regarding the  closing.?	Non-Actionable
Please have your paper work into St.	Actionable
Socal  36,600  37,200	Non-Actionable
Maureen, let's make sure that he gets our list of FERC Commissioner candidates with special emphasis on Wood and Brownell.	Actionable
Please release the following capacity to Boston same as offer 50136 for February 2002.	Actionable
Please review the following deals and settle with the customers who have problem with in a week.	Actionable
Shemin, let me know what is our Dominion status by tomorrow.	Actionable
Russell Long/HOU/ECT@ECT	Non-Actionable
She has a bulge in the material between the vertebrain her spine and it causes her extreme pain and has kept her bedridden thispast week..	Non-Actionable
>	Non-Actionable
I have scheduled and entered on each of your calendars a meeting for the above referenced topic.	Non-Actionable
>	Non-Actionable
I regret that it took so long to get back to you, but we had some unusualevents these past few weeks.	Non-Actionable
Complete the buyer and shipping info, print and fax this form with copy of your check attached or the completed credit card information.	Actionable
Cohagan Director, EWS Also, please find attached the marketing contact list.	Actionable
(Invited)	Non-Actionable
Please let me know what portion and percentage of charges are reimbursed by Enron Canada.	Actionable
INVESTOR	Non-Actionable
Invest in stocks and also diversify your portfolio with futures and futures options and accomplish your investment objectives!	Actionable
There are three types of  construction loans.	Non-Actionable
Is the closing today??	Non-Actionable
Jean Mrha/NA/Enron@Enron, Ina Rangel/HOU	Non-Actionable
Hunter S Shively/HOU/ECT	Non-Actionable
Daren Edward Terry Please provide Bob Superty with list of pipelines whom were late or had nomiation issues as result of this mornings Unify problems.	Actionable
Please create a new link to set up your account and add a new module.	Actionable
Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 11:57 AM ---------------------------	Non-Actionable
Hi Carolyn, Please email me the execution version of the documents signed last week, as well as the current version of the other documents.	Actionable
